CustomerKey,GeographyKey,CustomerALTERNATEkEY,FullName,Gender,City,Sales TerritoryKey
11106,40,AW00011106,Jessie Liu,Male,Warrnambool,9
11107,17,AW00011107,Bianca Lin,Female,St. Leonards,9
11108,13,AW00011108,Kari Alvarez,Female,Port Macquarie,9
11109,38,AW00011109,Ruben Kapoor,Male,South Melbourne,9
11110,3,AW00011110,Curtis Yang,Male,Darlinghurst,9
11111,34,AW00011111,Meredith Gutierrez,Female,Geelong,9
11112,25,AW00011112,Crystal Wang,Female,Hervey Bay,9
11113,30,AW00011113,Micheal Blanco,Male,Perth,9
11114,14,AW00011114,Leslie Moreno,Female,Rhodes,9
11115,17,AW00011115,Alvin Cai,Male,St. Leonards,9
11116,18,AW00011116,Clinton Carlson,Male,Sydney,9
11117,8,AW00011117,April Deng,Female,Matraville,9
11118,6,AW00011118,Alvin Zeng,Male,Lavender Bay,9
11119,13,AW00011119,Evan James,Male,Port Macquarie,9
11120,18,AW00011120,Beth Jiménez,Female,Sydney,9
11121,10,AW00011121,Orlando Suarez,Male,Newcastle,9
11122,12,AW00011122,Byron Vazquez,Male,North Sydney,9
11123,39,AW00011123,Philip Alvarez,Male,Sunbury,9
11124,40,AW00011124,Ross Jordan,Male,Warrnambool,9
11125,37,AW00011125,Dana Navarro,Female,Seaford,9
11126,11,AW00011126,Shaun Carson,Male,North Ryde,9
11127,361,AW00011127,Jan Edwards,Female,San Gabriel,4
11128,635,AW00011128,Samantha Long,Female,Renton,1
11129,638,AW00011129,Julia Wright,Female,Sedro Woolley,1
11130,543,AW00011130,Caroline Russell,Female,Lebanon,1
11131,50,AW00011131,Amanda Rivera,Female,Haney,6
11132,51,AW00011132,Melissa Richardson,Female,Langford,6
11133,542,AW00011133,Angela Griffin,Female,Lake Oswego,1
11134,30,AW00011134,Larry Townsend,Male,Perth,9
11135,302,AW00011135,Marcus Harris,Male,Burlingame,4
11136,53,AW00011136,Brianna Morgan,Female,Metchosin,6
11137,641,AW00011137,Jasmine Taylor,Female,Spokane,1
11138,325,AW00011138,Lauren Davis,Female,Glendale,4
11139,28,AW00011139,Tanya Moreno,Female,Cloverdale,9
11140,301,AW00011140,Javier Alvarez,Male,Burbank,4
11141,314,AW00011141,Nicole Ramirez,Female,Daly City,4
11142,51,AW00011142,Eduardo Patterson,Male,Langford,6
11143,334,AW00011143,Jonathan Henderson,Male,Lakewood,4
11144,607,AW00011144,Edward Hernandez,Male,Ballard,1
11145,536,AW00011145,Jasmine Coleman,Female,Beaverton,1
11146,8,AW00011146,Karla Goel,Female,Matraville,9
11147,40,AW00011147,Ernest Wu,Male,Warrnambool,9
11148,22,AW00011148,Ross Vazquez,Male,East Brisbane,9
11149,25,AW00011149,Theodore Gill,Male,Hervey Bay,9
11150,39,AW00011150,Russell Shen,Male,Sunbury,9
11151,18,AW00011151,Melinda Gill,Female,Sydney,9
11152,633,AW00011152,James Williams,Male,Puyallup,1
11153,635,AW00011153,Angela James,Female,Renton,1
11154,553,AW00011154,Megan Walker,Female,Woodburn,1
11155,301,AW00011155,Hunter Robinson,Male,Burbank,4
11156,334,AW00011156,Maria Roberts,Female,Lakewood,4
11157,642,AW00011157,Hannah Long,Female,Tacoma,1
11158,361,AW00011158,Jason Wright,Male,San Gabriel,4
11159,385,AW00011159,Brianna Hughes,Female,Woodland Hills,4
11160,311,AW00011160,Maurice Tang,Male,Concord,4
11161,311,AW00011161,Emily Wood,Female,Concord,4
11162,331,AW00011162,Chase Cox,Male,La Jolla,4
11163,372,AW00011163,Gabriel Wang,Male,Spring Valley,4
11164,374,AW00011164,Devin Brooks,Male,Torrance,4
11165,348,AW00011165,Jocelyn Alexander,Female,Oakland,4
11166,631,AW00011166,Ashley Martinez,Female,Olympia,1
11167,618,AW00011167,Jasmine Barnes,Female,Issaquah,1
11168,348,AW00011168,David Rodriguez,Male,Oakland,4
11169,312,AW00011169,Bryce Richardson,Male,Coronado,4
11170,612,AW00011170,Carol Howard,Female,Burien,1
11171,385,AW00011171,Jonathan Hill,Male,Woodland Hills,4
11172,626,AW00011172,Gabrielle Adams,Female,Lynnwood,1
11173,552,AW00011173,Sarah Thomas,Female,W. Linn,1
11174,338,AW00011174,Nicholas Robinson,Male,Los Angeles,4
11175,300,AW00011175,Luis Wang,Male,Beverly Hills,4
11176,50,AW00011176,Mason Roberts,Male,Haney,6
11177,359,AW00011177,Jose Flores,Male,San Diego,4
11178,334,AW00011178,Nathan Johnson,Male,Lakewood,4
11179,300,AW00011179,Molly Rodriguez,Female,Beverly Hills,4
11180,307,AW00011180,April Anand,Female,Chula Vista,4
11181,338,AW00011181,Devin Martin,Male,Los Angeles,4
11182,638,AW00011182,Stephanie Torres,Female,Sedro Woolley,1
11183,368,AW00011183,Jasmine Lee,Female,Santa Cruz,4
11184,311,AW00011184,Meghan Hernandez,Female,Concord,4
11185,53,AW00011185,Ashley Henderson,Female,Metchosin,6
11186,352,AW00011186,Sarah Price,Female,Palo Alto,4
11187,612,AW00011187,Jennifer Cooper,Female,Burien,1
11188,361,AW00011188,Catherine Morris,Female,San Gabriel,4
11189,609,AW00011189,Lawrence Blanco,Male,Bellingham,1
11190,300,AW00011190,Carson Bryant,Male,Beverly Hills,4
11191,310,AW00011191,Kristi Perez,Female,Colma,4
11192,637,AW00011192,James Brown,Male,Seattle,1
11193,553,AW00011193,Ian Gray,Male,Woodburn,1
11194,352,AW00011194,Jacqueline Price,Female,Palo Alto,4
11195,635,AW00011195,Megan Henderson,Female,Renton,1
11196,536,AW00011196,Alfredo Romero,Male,Beaverton,1
11197,637,AW00011197,Andrea Morris,Female,Seattle,1
11198,368,AW00011198,Brooke Sanders,Female,Santa Cruz,4
11199,302,AW00011199,Jacqueline Bennett,Female,Burlingame,4
11200,69,AW00011200,Jason Griffin,Male,Victoria,6
11201,369,AW00011201,Amanda Foster,Female,Santa Monica,4
11202,334,AW00011202,Alexia Price,Female,Lakewood,4
11203,60,AW00011203,Luis Diaz,Male,Port Hammond,6
11204,536,AW00011204,Destiny Rivera,Female,Beaverton,1
11205,612,AW00011205,Abby Fernandez,Female,Burien,1
11206,626,AW00011206,Blake Flores,Male,Lynnwood,1
11207,635,AW00011207,Danielle Cox,Female,Renton,1
11208,325,AW00011208,Maria Reed,Female,Glendale,4
11209,336,AW00011209,Allison Evans,Female,Lincoln Acres,4
11210,383,AW00011210,Edward Wood,Male,West Covina,4
11211,50,AW00011211,Samantha Russell,Female,Haney,6
11212,53,AW00011212,Chloe Campbell,Female,Metchosin,6
11213,614,AW00011213,Stephanie Murphy,Female,Edmonds,1
11214,545,AW00011214,Charles Miller,Male,Milwaukie,1
11215,62,AW00011215,Ana Perry,Female,Royal Oak,6
11216,547,AW00011216,Jasmine Torres,Female,Portland,1
11217,547,AW00011217,Natalie Adams,Female,Portland,1
11218,642,AW00011218,Olivia Brown,Female,Tacoma,1
11219,553,AW00011219,Charles Cook,Male,Woodburn,1
11220,310,AW00011220,Erica Huang,Female,Colma,4
11221,334,AW00011221,Nathan Perry,Male,Lakewood,4
11222,369,AW00011222,Alexandra Rivera,Female,Santa Monica,4
11223,52,AW00011223,Hailey Patterson,Female,Langley,6
11224,612,AW00011224,Tiffany Li,Female,Burien,1
11225,635,AW00011225,Madison Lee,Female,Renton,1
11226,552,AW00011226,Sydney Ross,Female,W. Linn,1
11227,310,AW00011227,Marshall Chavez,Male,Colma,4
11228,316,AW00011228,Ashley Jones,Female,El Cajon,4
11229,355,AW00011229,Adrian Stewart,Male,Redwood City,4
11230,369,AW00011230,Amber Turner,Female,Santa Monica,4
11231,611,AW00011231,Dennis Zhang,Male,Bremerton,1
11232,616,AW00011232,Hailey Bryant,Female,Everett,1
11233,299,AW00011233,Todd Li,Male,Berkeley,4
11234,337,AW00011234,Anna Griffin,Female,Long Beach,4
11235,607,AW00011235,Angel Stewart,Male,Ballard,1
11236,609,AW00011236,Jeremy Butler,Male,Bellingham,1
11237,161,AW00011237,Clarence Anand,Male,Solingen,8
11238,232,AW00011238,Mayra Prasad,Female,Birmingham,10
11239,249,AW00011239,Latoya Goel,Female,London,10
11240,273,AW00011240,Anne Hernandez,Female,Watford,10
11241,211,AW00011241,Lisa Cai,Female,Les Ulis,7
11242,209,AW00011242,Larry Munoz,Male,Versailles,7
11243,237,AW00011243,Robin Alvarez,Female,Esher-Molesey,10
11244,267,AW00011244,Alexis Coleman,Female,Runcorn,10
11245,132,AW00011245,Ricky Vazquez,Male,Hamburg,8
11246,147,AW00011246,Latasha Rubio,Female,Hamburg,8
11247,242,AW00011247,Claudia Zhou,Female,Lancaster,10
11248,223,AW00011248,Tristan Alexander,Male,Saint-Denis,7
11249,178,AW00011249,Cindy Patel,Female,Sulzbach Taunus,8
11250,276,AW00011250,Shannon Liu,Female,Woolston,10
11251,50,AW00011251,Xavier Long,Male,Haney,6
11252,335,AW00011252,Nicholas Thompson,Male,Lemon Grove,4
11253,69,AW00011253,José Hernandez,Male,Victoria,6
11254,612,AW00011254,Johnathan Vance,Male,Burien,1
11255,612,AW00011255,Colin Lin,Male,Burien,1
11256,626,AW00011256,Katelyn Hernandez,Female,Lynnwood,1
11257,345,AW00011257,Jacqueline Powell,Female,Newport Beach,4
11258,352,AW00011258,Xavier Hill,Male,Palo Alto,4
11259,548,AW00011259,Victoria Stewart,Female,Salem,1
11260,302,AW00011260,Katelyn Kelly,Female,Burlingame,4
11261,359,AW00011261,Stephanie Collins,Female,San Diego,4
11262,60,AW00011262,Jennifer Simmons,Female,Port Hammond,6
11263,612,AW00011263,Trinity Richardson,Female,Burien,1
11264,618,AW00011264,Eduardo Martin,Male,Issaquah,1
11265,623,AW00011265,Elizabeth Jones,Female,Kirkland,1
11266,632,AW00011266,Taylor Howard,Female,Port Orchard,1
11267,302,AW00011267,David Diaz,Male,Burlingame,4
11268,312,AW00011268,Katelyn Carter,Female,Coronado,4
11269,314,AW00011269,Ryan Foster,Male,Daly City,4
11270,334,AW00011270,Robert Lee,Male,Lakewood,4
11271,360,AW00011271,Danielle Reed,Female,San Francisco,4
11272,300,AW00011272,Lauren Martinez,Female,Beverly Hills,4
11273,331,AW00011273,Nathan Lal,Male,La Jolla,4
11274,609,AW00011274,Kyle Foster,Male,Bellingham,1
11275,310,AW00011275,Jenny Rai,Female,Colma,4
11276,49,AW00011276,Nancy Chapman,Female,Cliffside,6
11277,62,AW00011277,Charles Jackson,Male,Royal Oak,6
11278,614,AW00011278,Jonathan Phillips,Male,Edmonds,1
11279,616,AW00011279,Amanda Cook,Female,Everett,1
11280,626,AW00011280,Robert Collins,Male,Lynnwood,1
11281,301,AW00011281,Megan Barnes,Female,Burbank,4
11282,612,AW00011282,Christian Thomas,Male,Burien,1
11283,299,AW00011283,Arturo Lal,Male,Berkeley,4
11284,307,AW00011284,Theresa Serrano,Female,Chula Vista,4
11285,322,AW00011285,Jeremy Anderson,Male,Fremont,4
11286,374,AW00011286,Hunter Griffin,Male,Torrance,4
11287,49,AW00011287,Henry Garcia,Male,Cliffside,6
11288,301,AW00011288,Cindy Sanchez,Female,Burbank,4
11289,315,AW00011289,Maria Carter,Female,Downey,4
11290,334,AW00011290,Katelyn Sanchez,Female,Lakewood,4
11291,335,AW00011291,Jenna Wright,Female,Lemon Grove,4
11292,361,AW00011292,Seth Phillips,Male,San Gabriel,4
11293,632,AW00011293,Luke Long,Male,Port Orchard,1
11294,618,AW00011294,Dalton Clark,Male,Issaquah,1
11295,311,AW00011295,Taylor Lewis,Female,Concord,4
11296,616,AW00011296,Haley Richardson,Female,Everett,1
11297,301,AW00011297,Noah Coleman,Male,Burbank,4
11298,307,AW00011298,Jon Luo,Male,Chula Vista,4
11299,301,AW00011299,Orlando Vazquez,Male,Burbank,4
11300,54,AW00011300,Fernando Barnes,Male,N. Vancouver,6
11301,607,AW00011301,Cameron Rodriguez,Male,Ballard,1
11302,539,AW00011302,Spencer Russell,Male,Corvallis,1
11303,614,AW00011303,Julia Coleman,Female,Edmonds,1
11304,547,AW00011304,Julia Garcia,Female,Portland,1
11305,307,AW00011305,Sean Evans,Male,Chula Vista,4
11306,312,AW00011306,Micah Zhou,Male,Coronado,4
11307,314,AW00011307,Hunter Rodriguez,Male,Daly City,4
11308,546,AW00011308,Ian Gonzales,Male,Oregon City,1
11309,536,AW00011309,Victoria Lewis,Female,Beaverton,1
11310,360,AW00011310,Erin Sanders,Female,San Francisco,4
11311,626,AW00011311,Gabrielle Lopez,Female,Lynnwood,1
11312,626,AW00011312,Sara Richardson,Female,Lynnwood,1
11313,632,AW00011313,Trevor Jenkins,Male,Port Orchard,1
11314,618,AW00011314,Mya Flores,Female,Issaquah,1
11315,632,AW00011315,Hailey Ward,Female,Port Orchard,1
11316,51,AW00011316,Luke Allen,Male,Langford,6
11317,548,AW00011317,Victoria Russell,Female,Salem,1
11318,614,AW00011318,Jessica Wilson,Female,Edmonds,1
11319,348,AW00011319,Jade Bailey,Female,Oakland,4
11320,325,AW00011320,Morgan Hill,Female,Glendale,4
11321,612,AW00011321,Terrance Raman,Male,Burien,1
11322,611,AW00011322,Sydney Garcia,Female,Bremerton,1
11323,314,AW00011323,Jose Patterson,Male,Daly City,4
11324,325,AW00011324,Zachary Anderson,Male,Glendale,4
11325,637,AW00011325,Elijah Ross,Male,Seattle,1
11326,300,AW00011326,Rafael Xie,Male,Beverly Hills,4
11327,301,AW00011327,Jaime Moreno,Male,Burbank,4
11328,55,AW00011328,Julian Griffin,Male,Newton,6
11329,311,AW00011329,Andy Alvarez,Male,Concord,4
11330,59,AW00011330,Ryan Thompson,Male,Oak Bay,6
11331,63,AW00011331,Samantha Jenkins,Female,Shawnee,6
11332,153,AW00011332,Deanna Ramos,Female,Berlin,8
11333,261,AW00011333,Emily Miller,Female,Newcastle upon Tyne,10
11334,269,AW00011334,Nicole Brown,Female,Stoke-on-Trent,10
11335,120,AW00011335,Carla Raman,Female,Hof,8
11336,204,AW00011336,Shaun Raji,Male,Paris,7
11337,273,AW00011337,Jerome Romero,Male,Watford,10
11338,154,AW00011338,Frank Navarro,Male,Bonn,8
11339,202,AW00011339,Dennis She,Male,Paris,7
11340,192,AW00011340,Melody Munoz,Female,Paris,7
11341,236,AW00011341,Randy Zeng,Male,Cheltenham,10
11342,191,AW00011342,Marshall Wang,Male,Boulogne-sur-Mer,7
11343,264,AW00011343,Arthur Carlson,Male,Oxon,10
11344,262,AW00011344,Jessie Jimenez,Female,Oxford,10
11345,224,AW00011345,Robin Ramos,Female,Tremblay-en-France,7
11346,196,AW00011346,Deanna Gutierrez,Female,Paris,7
11347,156,AW00011347,Roy Navarro,Male,Braunschweig,8
11348,151,AW00011348,Shawn Rai,Male,Paderborn,8
11349,134,AW00011349,Mindy Luo,Female,München,8
11350,265,AW00011350,Cara Zhou,Female,Peterborough,10
11351,253,AW00011351,Anne Ramos,Female,London,10
11352,222,AW00011352,Raymond Rodriguez,Male,Pantin,7
11353,271,AW00011353,Carrie Ortega,Female,Warrington,10
11354,119,AW00011354,Deanna Suarez,Female,Grevenbroich,8
11355,275,AW00011355,Roberto Gutierrez,Male,Wokingham,10
11356,6,AW00011356,Terrence Carson,Male,Lavender Bay,9
11357,21,AW00011357,Ramon Ye,Male,Caloundra,9
11358,2,AW00011358,Cynthia Malhotra,Female,Coffs Harbour,9
11359,7,AW00011359,Jarrod Prasad,Male,Malabar,9
11360,26,AW00011360,Tyrone Serrano,Male,Rockhampton,9
11361,10,AW00011361,Cindy Ramos,Female,Newcastle,9
11362,33,AW00011362,Damien Shan,Male,Cranbourne,9
11363,35,AW00011363,Julian Ross,Male,Melbourne,9
11364,34,AW00011364,Jennifer Collins,Female,Geelong,9
11365,29,AW00011365,Brittney Sun,Female,Findon,9
11366,37,AW00011366,Virginia Patel,Female,Seaford,9
11367,12,AW00011367,Calvin Nara,Male,North Sydney,9
11368,26,AW00011368,Edward Miller,Male,Rockhampton,9
11369,29,AW00011369,Ashlee Tang,Female,Findon,9
11370,38,AW00011370,Alicia Xu,Female,South Melbourne,9
11371,26,AW00011371,Lacey Jai,Female,Rockhampton,9
11372,20,AW00011372,Wendy Romero,Female,Brisbane,9
11373,135,AW00011373,Carly Luo,Female,Salzgitter,8
11374,162,AW00011374,Jimmy Ortega,Male,Werne,8
11375,240,AW00011375,Francisco Martinez,Male,High Wycombe,10
11376,268,AW00011376,Lance Vazquez,Male,Liverpool,10
11377,161,AW00011377,David Robinett,Male,Solingen,8
11378,184,AW00011378,Shannon Liang,Female,Metz,7
11379,214,AW00011379,Gary Vazquez,Male,Boulogne-Billancourt,7
11380,175,AW00011380,Mitchell Kumar,Male,Saarlouis,8
11381,249,AW00011381,Meredith Raman,Female,London,10
11382,189,AW00011382,Edward Patterson,Male,Roubaix,7
11383,206,AW00011383,Marie Gill,Female,Roissy en Brie,7
11384,211,AW00011384,Tiffany Wang,Female,Les Ulis,7
11385,279,AW00011385,Miguel Allen,Male,York,10
11386,127,AW00011386,Jaclyn Cai,Female,Darmstadt,8
11387,238,AW00011387,Megan Ramirez,Female,Gateshead,10
11388,279,AW00011388,Joseph Martin,Male,York,10
11389,130,AW00011389,Karl Shan,Male,Duesseldorf,8
11390,208,AW00011390,Christine Raji,Female,Saint Germain en Laye,7
11391,135,AW00011391,Lindsay Xie,Female,Salzgitter,8
11392,131,AW00011392,Willie Zhao,Male,Frankfurt,8
11393,182,AW00011393,Kurt Pal,Male,Saint Ouen,7
11394,259,AW00011394,George McDonald,Male,Milton Keynes,10
11395,118,AW00011395,Beth Gutierrez,Female,Frankfurt,8
11396,175,AW00011396,Ian Lopez,Male,Saarlouis,8
11397,197,AW00011397,Latoya Shan,Female,Paris,7
11398,261,AW00011398,Colin Nath,Male,Newcastle upon Tyne,10
11399,202,AW00011399,Brenda Mehta,Female,Paris,7
11400,251,AW00011400,Franklin Raji,Male,London,10
11401,204,AW00011401,Linda Navarro,Female,Paris,7
11402,183,AW00011402,Kelli Cai,Female,Orleans,7
11403,179,AW00011403,Nancy Schmidt,Female,Saint Ouen,7
11404,133,AW00011404,Megan Taylor,Female,Kassel,8
11405,143,AW00011405,Bonnie Goel,Female,Bonn,8
11406,199,AW00011406,Latoya Xu,Female,Paris,7
11407,170,AW00011407,Mario She,Male,Münster,8
11408,257,AW00011408,Darren Gill,Male,London,10
11409,208,AW00011409,Jacqueline Hayes,Female,Saint Germain en Laye,7
11410,201,AW00011410,Maurice Goel,Male,Paris,7
11411,121,AW00011411,Devin Ross,Male,Ingolstadt,8
11412,121,AW00011412,Sydney Bryant,Female,Ingolstadt,8
11413,238,AW00011413,Megan Stewart,Female,Gateshead,10
11414,241,AW00011414,Ian Richardson,Male,Kirkby,10
11415,127,AW00011415,Randy She,Male,Darmstadt,8
11416,185,AW00011416,Katrina Becker,Female,Croix,7
11417,222,AW00011417,Lacey Zheng,Female,Pantin,7
11418,160,AW00011418,Rafael Hu,Male,Paderborn,8
11419,273,AW00011419,Kyle Scott,Male,Watford,10
11420,189,AW00011420,Jordan Turner,Male,Roubaix,7
11421,172,AW00011421,Amy Sun,Female,Offenbach,8
11422,268,AW00011422,Dustin Deng,Male,Liverpool,10
11423,147,AW00011423,Jasmine Stewart,Female,Hamburg,8
11424,164,AW00011424,Pamela Garcia,Female,Berlin,8
11425,184,AW00011425,Ariana Gray,Female,Metz,7
11426,156,AW00011426,Kristopher Mehta,Male,Braunschweig,8
11427,168,AW00011427,Desiree Dominguez,Female,Kiel,8
11428,173,AW00011428,Deanna Perez,Female,Poing,8
11429,218,AW00011429,Marco Lopez,Male,Sèvres,7
11430,155,AW00011430,Casey Yuan,Female,Bottrop,8
11431,120,AW00011431,Bryant Garcia,Male,Hof,8
11432,206,AW00011432,Dominique Prasad,Female,Roissy en Brie,7
11433,224,AW00011433,Maurice Shan,Male,Tremblay-en-France,7
11434,274,AW00011434,Andre Lopez,Male,West Sussex,10
11435,168,AW00011435,Robin Romero,Female,Kiel,8
11436,273,AW00011436,Taylor Cox,Female,Watford,10
11437,190,AW00011437,Alfredo Moreno,Male,Villeneuve-d'Ascq,7
11438,162,AW00011438,Jenny Nara,Female,Werne,8
11439,217,AW00011439,Janet Munoz,Female,Paris La Defense,7
11440,187,AW00011440,Sergio Weber,Male,Lille,7
11441,192,AW00011441,Erika Gomez,Female,Paris,7
11442,224,AW00011442,Joseph Harris,Male,Tremblay-en-France,7
11443,31,AW00011443,Grace Griffin,Female,Hobart,9
11444,32,AW00011444,Tina Mehta,Female,Bendigo,9
11445,15,AW00011445,Kari Kim,Female,Silverwater,9
11446,5,AW00011446,Bethany Chander,Female,Lane Cove,9
11447,25,AW00011447,Jennifer Roberts,Female,Hervey Bay,9
11448,35,AW00011448,Kyle Patterson,Male,Melbourne,9
11449,37,AW00011449,Alvin Hu,Male,Seaford,9
11450,28,AW00011450,Brett Mehta,Male,Cloverdale,9
11451,10,AW00011451,Ruben Muñoz,Male,Newcastle,9
11452,21,AW00011452,Erika Rubio,Female,Caloundra,9
11453,31,AW00011453,Stanley Malhotra,Male,Hobart,9
11454,35,AW00011454,Melinda Navarro,Female,Melbourne,9
11455,36,AW00011455,Ross Sanz,Male,Melton,9
11456,17,AW00011456,Jon Gao,Male,St. Leonards,9
11457,19,AW00011457,Jaime Gutierrez,Female,Wollongong,9
